OMIM,Orpha_doubles,Orpha,Snomed
300100,ORPHA:43,43,65389002
611788,ORPHA:91387,139396,
612098,,139399,
600376,ORPHA:774,91387,764965000
175100,,774,21877004
144010,ORPHA:391665,220460,715866009
277900,ORPHA:905,391665,238078005
613881,ORPHA:154,905,88518009
612954,ORPHA:199340,154,52029003
174900,ORPHA:329971; ORPHA:2929,199340,723407009
604370,ORPHA:145,329971,
612555,ORPHA:145,2929,9273005
253260,ORPHA:79241,145,718220008
601887,ORPHA:423,227535,254843006
616247,ORPHA:101016; ORPHA:768,79241,8808004
614916,ORPHA:3286,423,213026003
616249,ORPHA:101016; ORPHA:768,101016,20852007
618782,,768,442917000
611938,ORPHA:3286,3286,419671004
130050,ORPHA:286,286,17025000
213700,ORPHA:909,909,63246000
604765,ORPHA:154,98909,770627003
601419,ORPHA:98909,217656,715865008
610476,ORPHA:217656,293888,
610193,ORPHA:217656,293899,
607450,ORPHA:217656,293910,
615821,ORPHA:476096; ORPHA:65282,476096,1179293006
187300,ORPHA:774,65282,719835006
154700,ORPHA:558,558,19346006
617047,,75249,233878008
609524,ORPHA:171445,171445,764992006
232300,ORPHA:365,365,274864009
301500,ORPHA:324,308552,
235200,,420429,
600496,ORPHA:552,324,16652001
613688,ORPHA:101016; ORPHA:768,465508,1237181009
192500,ORPHA:101016; ORPHA:768,552,609561005
143890,,300751,766883006
115200,ORPHA:300751; ORPHA:154,29072,
171300,ORPHA:29072,652,30664006
131100,ORPHA:652,144,716318002
609310,ORPHA:144,247798,
120435,ORPHA:144,733,72900001
614350,ORPHA:144,54260,447935001
608456,ORPHA:247798; ORPHA:733,634475,1304119009
115197,,637,92503002
132900,ORPHA:91387,664,80908008
192600,,109,234138005
613426,ORPHA:154,2969,716862002
608758,,65285,67944007
608751,,201,58037000
101000,,790,1268901001
311250,ORPHA:664,357027,
114480,,357034,
603776,ORPHA:391665,99361,1367660004
609040,ORPHA:217656,653,61808009
609909,ORPHA:154,247698,
614337,ORPHA:144,247709,
600858,,791,28835009
158350,ORPHA:201,130,418818005
180200,ORPHA:790,284984,785808002
613172,ORPHA:154,60030,446263001
155240,ORPHA:653,79076,
171400,ORPHA:247698; ORPHA:653,2869,54411001
162300,ORPHA:247709; ORPHA:653,284973,
613794,ORPHA:791,524,428850001
145600,ORPHA:423,805,7199000
604772,ORPHA:3286,271861,1354544003
603830,ORPHA:101016; ORPHA:768,85447,42295001
601144,ORPHA:130,85451,715655000
601154,ORPHA:154,892,46659004
601650,ORPHA:29072,654,1268714009
605373,ORPHA:29072,65,193413001
613795,ORPHA:284984; ORPHA:60030,,
175050,,,
175200,ORPHA:2869,,
609192,ORPHA:60030; ORPHA:91387,,
610168,ORPHA:60030; ORPHA:91387,,
604400,ORPHA:217656,,
611879,ORPHA:154,,
613690,,,
601494,ORPHA:154,,
115195,,,
151623,ORPHA:524,,
115196,,,
615441,ORPHA:3286,,
191100,ORPHA:805,,
613254,ORPHA:805,,
604145,ORPHA:154,,
105210,ORPHA:271861,,
193300,ORPHA:892,,
194070,ORPHA:654,,
204100,ORPHA:65,,
168000,ORPHA:29072,,
115310,ORPHA:29072,,